"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","DE KALB","049","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","74","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","ETOWAH","055","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","368","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","JACKSON","071","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","488","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","MARSHALL","095","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","140","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","SAINT CLAIR","115","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","94","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","COLBERT","033","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","31","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","FRANKLIN","059","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","40","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAUDERDALE","077","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","82","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LAWRENCE","079","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","158","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","LIMESTONE","083","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","668","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MADISON","089","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","847","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MARION","093","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","22","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","MORGAN","103","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","178","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","NORTHERN VALLEY","10","WINSTON","133","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","114","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","BIBB","007","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","47","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","CHAMBERS","017","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","37","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","CHILTON","021","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","46","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","CLAY","027","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","146","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","COOSA","037","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","FAYETTE","057","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","106","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","JEFFERSON","073","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","125","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","LAMAR","075","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","48","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","LEE","081","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","20","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","PICKENS","107","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","26","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","RANDOLPH","111","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","81","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","SHELBY","117","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","201","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TALLADEGA","121","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","682","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TALLAPOOSA","123","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","TUSCALOOSA","125","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","351","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","WALKER","127","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","122","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","WIREGRASS","60","BARBOUR","005","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","90","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","WIREGRASS","60","COFFEE","031","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","32","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","WIREGRASS","60","COVINGTON","039","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","221","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","WIREGRASS","60","CRENSHAW","041","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","72","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","WIREGRASS","60","DALE","045","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","73","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","WIREGRASS","60","GENEVA","061","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","157","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","WIREGRASS","60","HENRY","067","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","49","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","WIREGRASS","60","HOUSTON","069","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","65","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","WIREGRASS","60","PIKE","109","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","353","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALABAMA","01","WIREGRASS","60","RUSSELL","113","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","13","38.7"
"CENSUS","2017","END OF DEC","","COUNTY","ALASKA","02","KENAI PENINSULA","30","KENAI PENINSULA","","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","270","8.8"
"CENSUS","2017","END OF DEC","","COUNTY","ALASKA","02","MATANUSKA-SUSITNA-ANCHORAGE","20","ANCHORAGE","","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","201","(L)"
"CENSUS","2017","END OF DEC","","COUNTY","ALASKA","02","TANANA VALLEY","10","FAIRBANKS NORTH STAR","","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","161","8.8"
"CENSUS","2017","END OF DEC","","COUNTY","ARIZONA","04","NORTHERN","10","APACHE","001","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","43","40.4"
"CENSUS","2017","END OF DEC","","COUNTY","ARIZONA","04","NORTHERN","10","COCONINO","005","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","ARIZONA","04","NORTHERN","10","GILA","007","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","ARIZONA","04","NORTHERN","10","MOHAVE","015","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","31","40.4"
"CENSUS","2017","END OF DEC","","COUNTY","ARIZONA","04","NORTHERN","10","NAVAJO","017","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","355","40.4"
"CENSUS","2017","END OF DEC","","COUNTY","ARIZONA","04","NORTHERN","10","YAVAPAI","025","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","324","40.4"
"CENSUS","2017","END OF DEC","","COUNTY","ARIZONA","04","SOUTHERN","80","COCHISE","003","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","422","40.4"
"CENSUS","2017","END OF DEC","","COUNTY","ARIZONA","04","SOUTHERN","80","GRAHAM","009","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","266","40.4"
"CENSUS","2017","END OF DEC","","COUNTY","ARIZONA","04","SOUTHERN","80","GREENLEE","011","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","10","40.4"
"CENSUS","2017","END OF DEC","","COUNTY","ARIZONA","04","SOUTHERN","80","LAPAZ","012","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","ARIZONA","04","SOUTHERN","80","MARICOPA","013","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","13,396","40.4"
"CENSUS","2017","END OF DEC","","COUNTY","ARIZONA","04","SOUTHERN","80","PIMA","019","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","2,912","40.4"
"CENSUS","2017","END OF DEC","","COUNTY","ARIZONA","04","SOUTHERN","80","PINAL","021","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","3,708","40.4"
"CENSUS","2017","END OF DEC","","COUNTY","ARIZONA","04","SOUTHERN","80","SANTA CRUZ","023","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","19","40.4"
"CENSUS","2017","END OF DEC","","COUNTY","ARIZONA","04","SOUTHERN","80","YUMA","027","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","4,348","40.4"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","CENTRAL","50","CONWAY","029","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","51","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","CENTRAL","50","FAULKNER","045","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","281","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","CENTRAL","50","GARLAND","051","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","198","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","CENTRAL","50","GRANT","053","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","64","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","CENTRAL","50","HOT SPRING","059","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","90","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","CENTRAL","50","PERRY","105","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","35","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","CENTRAL","50","PULASKI","119","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","247","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","CENTRAL","50","SALINE","125","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","380","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","ARKANSAS","001","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","CRITTENDEN","035","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","CROSS","037","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","61","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","LONOKE","085","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","43","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","PRAIRIE","117","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","EAST CENTRAL","60","WOODRUFF","147","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","BAXTER","005","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","93","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","CLEBURNE","023","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","63","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","FULTON","049","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","145","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","IZARD","065","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","20","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","MARION","089","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","145","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","SEARCY","129","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","28","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","SHARP","135","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","STONE","137","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","789","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","NORTH CENTRAL","20","VAN BUREN","141","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","28","7.1"
"CENSUS","2017","END OF DEC","","COUNTY","ARKANSAS","05","NORTHEAST","30","CLAY","021","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","50","7.1"
